tirage_id,date_tirage,numero_1,numero_2,numero_3,numero_4,numero_5,numero_chance
1,2025-04-02,45.0,5.0,34.0,15.0,4.0,9.0
2,2025-03-31,3.0,4.0,28.0,16.0,38.0,4.0
3,2025-03-29,14.0,31.0,41.0,7.0,12.0,5.0
4,2025-03-26,4.0,41.0,21.0,19.0,11.0,7.0
5,2025-03-24,35.0,29.0,47.0,46.0,21.0,1.0
6,2025-03-22,3.0,49.0,36.0,20.0,23.0,6.0
7,2025-03-19,15.0,14.0,3.0,45.0,12.0,3.0
8,2025-03-17,16.0,32.0,26.0,9.0,20.0,7.0
9,2025-03-15,27.0,6.0,31.0,21.0,40.0,7.0
10,2025-03-12,21.0,10.0,24.0,32.0,16.0,7.0
11,2025-03-10,23.0,24.0,13.0,15.0,39.0,1.0
12,2025-03-08,18.0,2.0,10.0,3.0,11.0,2.0
13,2025-03-05,47.0,28.0,7.0,26.0,30.0,4.0
14,2025-03-03,41.0,13.0,28.0,6.0,4.0,1.0
15,2025-03-01,14.0,28.0,33.0,9.0,8.0,4.0
16,2025-02-26,44.0,11.0,3.0,15.0,17.0,9.0
17,2025-02-24,32.0,5.0,13.0,38.0,46.0,5.0
18,2025-02-22,28.0,30.0,23.0,39.0,25.0,7.0
19,2025-02-19,42.0,23.0,16.0,32.0,28.0,5.0
20,2025-02-17,40.0,3.0,14.0,20.0,34.0,6.0
21,2025-02-15,48.0,42.0,13.0,49.0,6.0,3.0
22,2025-02-12,1.0,37.0,41.0,30.0,23.0,5.0
23,2025-02-10,39.0,44.0,12.0,29.0,2.0,6.0
24,2025-02-08,49.0,26.0,11.0,43.0,42.0,8.0
25,2025-02-05,14.0,8.0,24.0,28.0,5.0,9.0
26,2025-02-03,29.0,48.0,32.0,27.0,44.0,8.0
27,2025-02-01,34.0,46.0,11.0,30.0,36.0,5.0
28,2025-01-29,29.0,41.0,17.0,27.0,19.0,2.0
29,2025-01-27,24.0,39.0,48.0,3.0,10.0,3.0
30,2025-01-25,45.0,35.0,44.0,5.0,19.0,8.0
31,2025-01-22,29.0,36.0,23.0,44.0,38.0,9.0
32,2025-01-20,19.0,28.0,36.0,40.0,6.0,2.0
33,2025-01-18,11.0,1.0,4.0,33.0,44.0,7.0
34,2025-01-15,1.0,22.0,40.0,27.0,28.0,2.0
35,2025-01-13,31.0,3.0,24.0,41.0,7.0,2.0
36,2025-01-11,42.0,20.0,6.0,29.0,41.0,9.0
37,2025-01-08,14.0,34.0,38.0,24.0,26.0,8.0
38,2025-01-06,3.0,31.0,8.0,16.0,42.0,7.0
39,2025-01-04,17.0,20.0,9.0,19.0,29.0,2.0
40,2025-01-01,8.0,11.0,2.0,25.0,21.0,4.0
41,2024-12-30,13.0,31.0,29.0,1.0,21.0,10.0
42,2024-12-28,31.0,7.0,37.0,39.0,13.0,6.0
43,2024-12-25,46.0,6.0,22.0,44.0,13.0,8.0
44,2024-12-23,22.0,17.0,38.0,2.0,13.0,7.0
45,2024-12-21,41.0,16.0,6.0,28.0,36.0,8.0
46,2024-12-18,8.0,27.0,26.0,46.0,14.0,2.0
47,2024-12-16,43.0,5.0,26.0,36.0,6.0,3.0
48,2024-12-14,30.0,22.0,44.0,40.0,24.0,7.0
49,2024-12-11,28.0,24.0,8.0,43.0,19.0,6.0
50,2024-12-09,38.0,5.0,9.0,25.0,6.0,6.0
51,2024-12-07,9.0,21.0,24.0,30.0,28.0,9.0
52,2024-12-04,40.0,21.0,7.0,34.0,3.0,1.0
53,2024-12-02,48.0,16.0,22.0,41.0,4.0,10.0
54,2024-11-30,21.0,4.0,10.0,38.0,19.0,1.0
55,2024-11-27,15.0,7.0,31.0,35.0,20.0,6.0
56,2024-11-25,13.0,7.0,37.0,49.0,3.0,5.0
57,2024-11-23,37.0,33.0,36.0,34.0,20.0,2.0
58,2024-11-20,35.0,37.0,45.0,48.0,27.0,5.0
59,2024-11-18,17.0,12.0,3.0,8.0,6.0,9.0
60,2024-11-16,46.0,5.0,29.0,7.0,19.0,4.0
61,2024-11-13,9.0,12.0,32.0,39.0,13.0,10.0
62,2024-11-11,8.0,35.0,46.0,6.0,11.0,6.0
63,2024-11-09,36.0,12.0,35.0,23.0,26.0,8.0
64,2024-11-06,26.0,8.0,23.0,15.0,6.0,5.0
65,2024-11-04,17.0,15.0,16.0,39.0,35.0,2.0
66,2024-11-02,31.0,49.0,43.0,21.0,1.0,6.0
67,2024-10-30,4.0,44.0,10.0,29.0,8.0,1.0
68,2024-10-28,21.0,39.0,43.0,9.0,41.0,3.0
69,2024-10-26,9.0,17.0,30.0,20.0,11.0,8.0
70,2024-10-23,27.0,1.0,34.0,44.0,40.0,2.0
71,2024-10-21,7.0,34.0,19.0,15.0,11.0,7.0
72,2024-10-19,10.0,2.0,44.0,46.0,45.0,5.0
73,2024-10-16,1.0,25.0,48.0,21.0,35.0,3.0
74,2024-10-14,42.0,18.0,47.0,41.0,20.0,2.0
75,2024-10-12,35.0,33.0,43.0,6.0,37.0,6.0
76,2024-10-09,5.0,26.0,22.0,31.0,33.0,7.0
77,2024-10-07,49.0,26.0,5.0,7.0,1.0,8.0
78,2024-10-05,30.0,16.0,7.0,13.0,43.0,6.0
79,2024-10-02,2.0,10.0,4.0,49.0,12.0,9.0
80,2024-09-30,1.0,33.0,49.0,24.0,17.0,9.0
81,2024-09-28,47.0,39.0,4.0,42.0,45.0,1.0
82,2024-09-25,5.0,25.0,10.0,6.0,1.0,9.0
83,2024-09-23,9.0,40.0,28.0,27.0,7.0,6.0
84,2024-09-21,32.0,30.0,4.0,2.0,19.0,9.0
85,2024-09-18,2.0,44.0,42.0,47.0,23.0,5.0
86,2024-09-16,27.0,31.0,48.0,30.0,17.0,8.0
87,2024-09-14,15.0,32.0,11.0,49.0,6.0,4.0
88,2024-09-11,28.0,30.0,10.0,39.0,24.0,5.0
89,2024-09-09,18.0,8.0,41.0,17.0,3.0,3.0
90,2024-09-07,48.0,43.0,31.0,9.0,15.0,9.0
91,2024-09-04,4.0,2.0,26.0,22.0,40.0,8.0
92,2024-09-02,27.0,12.0,26.0,6.0,5.0,6.0
93,2024-08-31,43.0,18.0,28.0,40.0,14.0,1.0
94,2024-08-28,42.0,30.0,11.0,33.0,37.0,3.0
95,2024-08-26,6.0,28.0,3.0,12.0,24.0,2.0
96,2024-08-24,13.0,29.0,30.0,20.0,36.0,5.0
97,2024-08-21,3.0,20.0,15.0,31.0,19.0,7.0
98,2024-08-19,10.0,18.0,20.0,19.0,28.0,5.0
99,2024-08-17,3.0,4.0,22.0,48.0,49.0,1.0
100,2024-08-14,25.0,17.0,46.0,28.0,23.0,5.0
101,2024-08-12,16.0,18.0,45.0,38.0,31.0,8.0
102,2024-08-10,36.0,31.0,37.0,28.0,17.0,10.0
103,2024-08-07,27.0,47.0,24.0,39.0,46.0,9.0
104,2024-08-05,24.0,21.0,7.0,31.0,27.0,3.0
105,2024-08-03,47.0,4.0,2.0,14.0,34.0,2.0
106,2024-07-31,25.0,3.0,45.0,47.0,49.0,7.0
107,2024-07-29,20.0,22.0,32.0,34.0,31.0,7.0
108,2024-07-27,21.0,8.0,28.0,42.0,47.0,4.0
109,2024-07-24,40.0,11.0,18.0,8.0,47.0,2.0
110,2024-07-22,49.0,35.0,25.0,27.0,42.0,9.0
111,2024-07-20,5.0,30.0,16.0,47.0,15.0,7.0
112,2024-07-17,35.0,40.0,17.0,6.0,47.0,4.0
113,2024-07-15,4.0,10.0,30.0,38.0,24.0,10.0
114,2024-07-13,21.0,5.0,6.0,24.0,42.0,8.0
115,2024-07-10,16.0,3.0,5.0,39.0,11.0,9.0
116,2024-07-08,7.0,42.0,31.0,8.0,24.0,6.0
117,2024-07-06,46.0,13.0,47.0,18.0,34.0,5.0
118,2024-07-03,4.0,1.0,24.0,21.0,42.0,3.0
119,2024-07-01,22.0,7.0,28.0,6.0,3.0,7.0
120,2024-06-29,17.0,24.0,30.0,43.0,1.0,7.0
121,2024-06-26,21.0,10.0,38.0,41.0,25.0,8.0
122,2024-06-24,48.0,47.0,6.0,45.0,1.0,6.0
123,2024-06-22,10.0,34.0,25.0,38.0,29.0,3.0
124,2024-06-19,35.0,11.0,18.0,46.0,30.0,2.0
125,2024-06-17,28.0,6.0,11.0,46.0,25.0,2.0
126,2024-06-15,8.0,16.0,42.0,30.0,40.0,2.0
127,2024-06-12,28.0,3.0,6.0,33.0,13.0,4.0
128,2024-06-10,47.0,5.0,34.0,28.0,39.0,8.0
129,2024-06-08,35.0,39.0,18.0,43.0,31.0,7.0
130,2024-06-05,4.0,6.0,35.0,47.0,7.0,1.0
131,2024-06-03,9.0,15.0,39.0,49.0,48.0,7.0
132,2024-06-01,27.0,2.0,48.0,43.0,3.0,8.0
133,2024-05-29,10.0,19.0,28.0,38.0,37.0,7.0
134,2024-05-27,41.0,19.0,32.0,42.0,47.0,1.0
135,2024-05-25,19.0,26.0,42.0,18.0,20.0,1.0
136,2024-05-22,46.0,23.0,21.0,32.0,20.0,10.0
137,2024-05-20,12.0,32.0,36.0,6.0,29.0,8.0
138,2024-05-18,14.0,34.0,37.0,15.0,45.0,2.0
139,2024-05-15,21.0,16.0,9.0,20.0,15.0,1.0
140,2024-05-13,26.0,13.0,25.0,12.0,18.0,4.0
141,2024-05-11,6.0,39.0,24.0,13.0,43.0,8.0
142,2024-05-08,7.0,34.0,6.0,3.0,36.0,7.0
143,2024-05-06,1.0,4.0,35.0,39.0,21.0,5.0
144,2024-05-04,2.0,16.0,19.0,12.0,6.0,3.0
145,2024-05-01,17.0,42.0,25.0,5.0,15.0,7.0
146,2024-04-29,49.0,47.0,20.0,3.0,30.0,7.0
147,2024-04-27,18.0,34.0,27.0,14.0,44.0,6.0
148,2024-04-24,38.0,25.0,40.0,41.0,39.0,7.0
149,2024-04-22,48.0,20.0,39.0,8.0,47.0,1.0
150,2024-04-20,13.0,10.0,22.0,24.0,16.0,7.0
151,2024-04-17,48.0,6.0,8.0,17.0,24.0,10.0
152,2024-04-15,24.0,2.0,21.0,36.0,31.0,6.0
153,2024-04-13,45.0,7.0,29.0,19.0,38.0,8.0
154,2024-04-10,18.0,1.0,33.0,9.0,39.0,2.0
155,2024-04-08,2.0,22.0,46.0,21.0,49.0,9.0
156,2024-04-06,27.0,2.0,36.0,43.0,6.0,5.0
157,2024-04-03,26.0,46.0,5.0,12.0,36.0,4.0
158,2024-04-01,9.0,17.0,15.0,12.0,26.0,8.0
159,2024-03-30,40.0,41.0,28.0,8.0,42.0,2.0
160,2024-03-27,28.0,45.0,2.0,15.0,23.0,7.0
161,2024-03-25,37.0,1.0,22.0,26.0,31.0,5.0
162,2024-03-23,47.0,49.0,20.0,34.0,32.0,1.0
163,2024-03-20,24.0,46.0,3.0,22.0,32.0,5.0
164,2024-03-18,36.0,48.0,30.0,20.0,40.0,8.0
165,2024-03-16,12.0,10.0,37.0,25.0,49.0,2.0
166,2024-03-13,5.0,29.0,4.0,10.0,13.0,1.0
167,2024-03-11,18.0,48.0,36.0,16.0,45.0,10.0
168,2024-03-09,29.0,28.0,25.0,7.0,35.0,2.0
169,2024-03-06,12.0,8.0,43.0,46.0,49.0,8.0
170,2024-03-04,25.0,8.0,18.0,27.0,37.0,8.0
171,2024-03-02,20.0,13.0,27.0,26.0,17.0,4.0
172,2024-02-28,2.0,38.0,46.0,27.0,43.0,3.0
173,2024-02-26,7.0,45.0,30.0,8.0,20.0,10.0
174,2024-02-24,14.0,45.0,37.0,22.0,25.0,3.0
175,2024-02-21,42.0,22.0,9.0,33.0,45.0,3.0
176,2024-02-19,35.0,23.0,16.0,42.0,8.0,2.0
177,2024-02-17,2.0,19.0,13.0,23.0,36.0,3.0
178,2024-02-14,28.0,15.0,3.0,46.0,36.0,2.0
179,2024-02-12,36.0,40.0,5.0,30.0,43.0,1.0
180,2024-02-10,44.0,15.0,37.0,34.0,40.0,8.0
181,2024-02-07,24.0,13.0,23.0,6.0,34.0,4.0
182,2024-02-05,36.0,3.0,33.0,34.0,42.0,2.0
183,2024-02-03,42.0,4.0,23.0,15.0,12.0,1.0
184,2024-01-31,34.0,2.0,13.0,15.0,31.0,8.0
185,2024-01-29,27.0,26.0,8.0,9.0,15.0,4.0
186,2024-01-27,47.0,2.0,14.0,33.0,30.0,5.0
187,2024-01-24,25.0,9.0,34.0,31.0,32.0,5.0
188,2024-01-22,32.0,29.0,37.0,20.0,5.0,9.0
189,2024-01-20,19.0,41.0,42.0,43.0,45.0,2.0
190,2024-01-17,29.0,8.0,37.0,22.0,39.0,10.0
191,2024-01-15,11.0,7.0,15.0,23.0,19.0,4.0
192,2024-01-13,12.0,15.0,21.0,29.0,48.0,6.0
193,2024-01-10,12.0,28.0,32.0,45.0,38.0,9.0
194,2024-01-08,6.0,48.0,11.0,49.0,46.0,2.0
195,2024-01-06,49.0,19.0,22.0,40.0,45.0,2.0
196,2024-01-03,36.0,1.0,45.0,9.0,14.0,3.0
197,2024-01-01,4.0,41.0,16.0,13.0,6.0,10.0
198,2023-12-30,36.0,12.0,7.0,11.0,38.0,6.0
199,2023-12-27,16.0,41.0,26.0,28.0,13.0,8.0
200,2023-12-25,9.0,32.0,7.0,47.0,1.0,1.0
201,2023-12-23,39.0,28.0,26.0,5.0,29.0,10.0
202,2023-12-20,2.0,3.0,29.0,30.0,31.0,10.0
203,2023-12-18,30.0,3.0,15.0,41.0,16.0,9.0
204,2023-12-16,1.0,15.0,12.0,30.0,44.0,1.0
205,2023-12-13,4.0,19.0,22.0,18.0,7.0,10.0
206,2023-12-11,25.0,48.0,16.0,12.0,49.0,10.0
207,2023-12-09,40.0,34.0,36.0,28.0,15.0,10.0
208,2023-12-06,29.0,1.0,43.0,37.0,27.0,7.0
209,2023-12-04,41.0,44.0,38.0,8.0,10.0,2.0
210,2023-12-02,25.0,19.0,12.0,11.0,28.0,4.0
211,2023-11-29,21.0,30.0,6.0,31.0,10.0,1.0
212,2023-11-27,19.0,8.0,46.0,26.0,9.0,9.0
213,2023-11-25,1.0,9.0,19.0,13.0,11.0,8.0
214,2023-11-22,18.0,45.0,41.0,4.0,17.0,2.0
215,2023-11-20,30.0,15.0,34.0,46.0,41.0,2.0
216,2023-11-18,12.0,21.0,48.0,29.0,20.0,3.0
217,2023-11-15,22.0,7.0,16.0,30.0,2.0,1.0
218,2023-11-13,46.0,39.0,23.0,45.0,13.0,7.0
219,2023-11-11,17.0,22.0,35.0,25.0,19.0,6.0
220,2023-11-08,2.0,49.0,1.0,36.0,14.0,9.0
221,2023-11-06,18.0,10.0,40.0,34.0,31.0,10.0
222,2023-11-04,20.0,13.0,46.0,40.0,25.0,7.0
223,2023-11-01,32.0,46.0,27.0,1.0,16.0,1.0
224,2023-10-30,30.0,34.0,8.0,1.0,13.0,4.0
225,2023-10-28,31.0,38.0,22.0,32.0,34.0,2.0
226,2023-10-25,22.0,12.0,30.0,35.0,33.0,10.0
227,2023-10-23,10.0,3.0,40.0,26.0,22.0,4.0
228,2023-10-21,47.0,14.0,28.0,3.0,25.0,10.0
229,2023-10-18,22.0,13.0,46.0,49.0,3.0,1.0
230,2023-10-16,6.0,7.0,37.0,25.0,47.0,9.0
231,2023-10-14,13.0,14.0,27.0,4.0,20.0,1.0
232,2023-10-11,10.0,16.0,15.0,6.0,24.0,8.0
233,2023-10-09,9.0,16.0,32.0,30.0,23.0,6.0
234,2023-10-07,5.0,12.0,42.0,9.0,26.0,2.0
235,2023-10-04,26.0,21.0,40.0,27.0,31.0,1.0
236,2023-10-02,6.0,40.0,17.0,15.0,3.0,1.0
237,2023-09-30,33.0,48.0,25.0,23.0,41.0,1.0
238,2023-09-27,44.0,14.0,30.0,25.0,17.0,3.0
239,2023-09-25,4.0,13.0,27.0,46.0,21.0,4.0
240,2023-09-23,26.0,28.0,40.0,37.0,6.0,8.0
241,2023-09-20,48.0,19.0,37.0,16.0,29.0,1.0
242,2023-09-18,5.0,30.0,40.0,35.0,17.0,6.0
243,2023-09-16,42.0,43.0,32.0,40.0,15.0,4.0
244,2023-09-13,11.0,27.0,30.0,48.0,49.0,8.0
245,2023-09-11,31.0,44.0,40.0,13.0,28.0,6.0
246,2023-09-09,15.0,7.0,3.0,42.0,4.0,4.0
247,2023-09-06,47.0,30.0,15.0,33.0,4.0,10.0
248,2023-09-04,27.0,13.0,2.0,11.0,36.0,10.0
249,2023-09-02,10.0,33.0,47.0,1.0,7.0,10.0
250,2023-08-30,46.0,31.0,20.0,45.0,39.0,10.0
251,2023-08-28,9.0,35.0,23.0,37.0,28.0,7.0
252,2023-08-26,15.0,14.0,21.0,34.0,45.0,5.0
253,2023-08-23,46.0,29.0,25.0,8.0,34.0,7.0
254,2023-08-21,3.0,17.0,4.0,36.0,22.0,6.0
255,2023-08-19,27.0,8.0,32.0,11.0,4.0,10.0
256,2023-08-16,24.0,41.0,19.0,35.0,27.0,9.0
257,2023-08-14,44.0,13.0,3.0,27.0,49.0,9.0
258,2023-08-12,9.0,20.0,44.0,1.0,39.0,9.0
259,2023-08-09,6.0,31.0,45.0,14.0,3.0,9.0
260,2023-08-07,11.0,1.0,15.0,48.0,47.0,7.0
261,2023-08-05,40.0,42.0,2.0,7.0,10.0,2.0
262,2023-08-02,18.0,12.0,32.0,9.0,23.0,9.0
263,2023-07-31,1.0,47.0,22.0,33.0,4.0,1.0
264,2023-07-29,1.0,49.0,29.0,18.0,37.0,4.0
265,2023-07-26,17.0,49.0,18.0,28.0,11.0,7.0
266,2023-07-24,12.0,1.0,31.0,45.0,17.0,7.0
267,2023-07-22,37.0,33.0,42.0,36.0,31.0,3.0
268,2023-07-19,35.0,5.0,39.0,19.0,11.0,9.0
269,2023-07-17,47.0,6.0,20.0,9.0,41.0,9.0
270,2023-07-15,7.0,32.0,42.0,45.0,12.0,6.0
271,2023-07-12,31.0,18.0,34.0,27.0,26.0,8.0
272,2023-07-10,14.0,3.0,10.0,44.0,8.0,2.0
273,2023-07-08,6.0,19.0,48.0,32.0,10.0,5.0
274,2023-07-05,22.0,8.0,19.0,7.0,15.0,5.0
275,2023-07-03,42.0,23.0,2.0,8.0,35.0,7.0
276,2023-07-01,24.0,7.0,18.0,15.0,9.0,10.0
277,2023-06-28,49.0,34.0,36.0,12.0,42.0,10.0
278,2023-06-26,14.0,21.0,48.0,16.0,26.0,3.0
279,2023-06-24,30.0,40.0,3.0,21.0,2.0,4.0
280,2023-06-21,20.0,35.0,27.0,19.0,12.0,4.0
281,2023-06-19,39.0,42.0,38.0,29.0,49.0,3.0
282,2023-06-17,28.0,43.0,29.0,38.0,44.0,3.0
283,2023-06-14,14.0,9.0,16.0,12.0,33.0,2.0
284,2023-06-12,12.0,26.0,28.0,19.0,21.0,2.0
285,2023-06-10,28.0,16.0,11.0,32.0,49.0,10.0
286,2023-06-07,41.0,28.0,3.0,4.0,23.0,8.0
287,2023-06-05,3.0,46.0,25.0,10.0,13.0,5.0
288,2023-06-03,46.0,44.0,37.0,2.0,39.0,4.0
289,2023-05-31,43.0,9.0,40.0,28.0,13.0,3.0
290,2023-05-29,12.0,38.0,28.0,24.0,36.0,3.0
291,2023-05-27,25.0,24.0,31.0,34.0,9.0,9.0
292,2023-05-24,20.0,11.0,36.0,17.0,28.0,10.0
293,2023-05-22,43.0,33.0,42.0,22.0,37.0,4.0
294,2023-05-20,25.0,18.0,3.0,8.0,37.0,6.0
295,2023-05-17,8.0,2.0,11.0,47.0,40.0,7.0
296,2023-05-15,12.0,9.0,48.0,7.0,29.0,4.0
297,2023-05-13,43.0,6.0,25.0,34.0,9.0,5.0
298,2023-05-10,45.0,12.0,44.0,15.0,9.0,1.0
299,2023-05-08,43.0,47.0,16.0,39.0,4.0,5.0
300,2023-05-06,47.0,25.0,42.0,2.0,30.0,10.0
301,2023-05-03,17.0,23.0,13.0,20.0,45.0,8.0
302,2023-05-01,15.0,41.0,33.0,44.0,5.0,10.0
303,2023-04-29,40.0,48.0,36.0,22.0,3.0,5.0
304,2023-04-26,3.0,18.0,24.0,11.0,14.0,10.0
305,2023-04-24,41.0,23.0,25.0,1.0,49.0,2.0
306,2023-04-22,12.0,26.0,48.0,13.0,35.0,1.0
307,2023-04-19,43.0,41.0,5.0,46.0,34.0,5.0
308,2023-04-17,3.0,18.0,42.0,13.0,43.0,9.0
309,2023-04-15,32.0,17.0,15.0,19.0,29.0,10.0
310,2023-04-12,18.0,26.0,10.0,30.0,15.0,7.0
311,2023-04-10,45.0,24.0,15.0,10.0,49.0,2.0
312,2023-04-08,19.0,35.0,48.0,3.0,42.0,10.0
313,2023-04-05,31.0,33.0,16.0,29.0,39.0,2.0
314,2023-04-03,49.0,15.0,39.0,31.0,46.0,4.0
315,2023-04-01,44.0,48.0,17.0,12.0,35.0,8.0
316,2023-03-29,34.0,1.0,32.0,14.0,11.0,9.0
317,2023-03-27,1.0,11.0,23.0,41.0,34.0,9.0
318,2023-03-25,3.0,34.0,29.0,7.0,11.0,4.0
